Sept. 14, 2020   13:07:46
Linear Sweep Voltammetry,
File: c:\users\zhanglei\desktop\zzy\ivData Source:  Experiment,
Instrument Model:  CHI660E,
Header: ,
Note: ,
,
Init E (V) = 0,
Final E (V) = 1.2,
Scan Rate (V/s) = 0.1,
Sample Interval (V) = 0.001,
Quiet Time (sec) = 2,
Sensitivity (A/V) = 0.01,
,
,
Potential/V, Current/A
,
0.268,3.09E-03
0.269,3.11E-03
0.27,3.13E-03
0.271,3.15E-03
0.272,3.17E-03
0.273,3.19E-03
0.274,3.21E-03
0.275,3.23E-03
0.276,3.25E-03
0.277,3.27E-03
0.278,3.29E-03
0.279,3.31E-03
0.28,3.33E-03
0.281,3.35E-03
0.282,3.37E-03
0.283,3.39E-03
0.284,3.41E-03
0.285,3.43E-03
0.286,3.45E-03
0.287,3.47E-03
0.288,3.49E-03
0.289,3.51E-03
0.29,3.53E-03
0.291,3.54E-03
0.292,3.56E-03
0.293,3.58E-03
0.294,3.60E-03
0.295,3.62E-03
0.296,3.64E-03
0.297,3.66E-03
0.298,3.68E-03
0.299,3.70E-03
0.3,3.72E-03
0.301,3.74E-03
0.302,3.76E-03
0.303,3.78E-03
0.304,3.80E-03
0.305,3.82E-03
0.306,3.84E-03
0.307,3.86E-03
0.308,3.88E-03
0.309,3.90E-03
0.31,3.92E-03
0.311,3.94E-03
0.312,3.96E-03
0.313,3.98E-03
0.314,4.00E-03
0.315,4.02E-03
0.316,4.04E-03
0.317,4.06E-03
0.318,4.08E-03
0.319,4.10E-03
0.32,4.12E-03
0.321,4.14E-03
0.322,4.16E-03
0.323,4.18E-03
0.324,4.20E-03
0.325,4.22E-03
0.326,4.24E-03
0.327,4.26E-03
0.328,4.28E-03
0.329,4.30E-03
0.33,4.32E-03
0.331,4.34E-03
0.332,4.36E-03
0.333,4.38E-03
0.334,4.40E-03
0.335,4.42E-03
0.336,4.44E-03
0.337,4.46E-03
0.338,4.48E-03
0.339,4.50E-03
0.34,4.52E-03
0.341,4.54E-03
0.342,4.56E-03
0.343,4.58E-03
0.344,4.60E-03
0.345,4.62E-03
0.346,4.64E-03
0.347,4.66E-03
0.348,4.68E-03
0.349,4.70E-03
0.35,4.72E-03
0.351,4.74E-03
0.352,4.76E-03
0.353,4.78E-03
0.354,4.80E-03
0.355,4.82E-03
0.356,4.84E-03
0.357,4.86E-03
0.358,4.88E-03
0.359,4.90E-03
0.36,4.92E-03
0.361,4.95E-03
0.362,4.97E-03
0.363,4.99E-03
0.364,5.00E-03
0.365,5.02E-03
0.366,5.04E-03
0.367,5.06E-03
0.368,5.08E-03
0.369,5.10E-03
0.37,5.12E-03
0.371,5.14E-03
0.372,5.16E-03
0.373,5.18E-03
0.374,5.20E-03
0.375,5.22E-03
0.376,5.24E-03
0.377,5.26E-03
0.378,5.28E-03
0.379,5.30E-03
0.38,5.33E-03
0.381,5.35E-03
0.382,5.37E-03
0.383,5.39E-03
0.384,5.41E-03
0.385,5.43E-03
0.386,5.45E-03
0.387,5.47E-03
0.388,5.49E-03
0.389,5.51E-03
0.39,5.53E-03
0.391,5.55E-03
0.392,5.57E-03
0.393,5.59E-03
0.394,5.61E-03
0.395,5.63E-03
0.396,5.65E-03
0.397,5.67E-03
0.398,5.69E-03
0.399,5.71E-03
0.4,5.73E-03
0.401,5.75E-03
0.402,5.77E-03
0.403,5.79E-03
0.404,5.81E-03
0.405,5.83E-03
0.406,5.86E-03
0.407,5.88E-03
0.408,5.90E-03
0.409,5.92E-03
0.41,5.94E-03
0.411,5.96E-03
0.412,5.98E-03
0.413,6.00E-03
0.414,6.02E-03
0.415,6.04E-03
0.416,6.06E-03
0.417,6.08E-03
0.418,6.10E-03
0.419,6.12E-03
0.42,6.14E-03
0.421,6.16E-03
0.422,6.18E-03
0.423,6.20E-03
0.424,6.22E-03
0.425,6.24E-03
0.426,6.26E-03
0.427,6.29E-03
0.428,6.31E-03
0.429,6.33E-03
0.43,6.35E-03
0.431,6.37E-03
0.432,6.39E-03
0.433,6.41E-03
0.434,6.43E-03
